Datum;Titel;Medium;Land;Typ;Kategorie;Autoren;Tags
2025 02 06;Satellite images show Guantanamo Bay changes as Trump ramps up deportation plans;Sky News;Cuba;Artikel;Human Rights;Max Mustermann;Energie
2025 02 06;Hier wächst der ultraexklusive Skiclub der Superreichen;Wirtschafts Woche;USA;Artikel;;Max Mustermann;Energie
2025 02 06;De Sahara ligt vol met eeuwenoude graven die de vorm hebben van croissants;NRC;Sahara;Artikel;;Max Mustermann;Energie
2025 02 06;2024: A year in satellite image;Sky News;Gaza;Artikel;;Max Mustermann;Energie
2025 02 06;Mayotte before and after: satellite images show destruction by Cyclone Chido;The Guardian;Mayotte;Artikel;Natural Disaster;Max Mustermann;Energie
2025 02 06;Satellitenbilder sollen Rückzug russischer Truppen aus Syrien zeigen;Die Zeit;Syria;Artikel;War;Max Mustermann;Energie
2025 02 06;Israel builds a new reality on the ground in the Gaza Strip;NZZ;Gaza;Artikel;;Max Mustermann;Energie
2025 02 06;What satellite images tell us about North Gaza as report accuses Israel of 'ethnic cleansing';Sky News;Gaza;Artikel;;Max Mustermann;Energie
2025 02 06;So sehen Spaniens Überschwemmungsgebiete aus dem All aus;Der Spiegel;Spain;Artikel;Natural Disaster;Max Mustermann;Energie
2025 02 06;So sehen Spaniens Überschwemmungsgebiete aus dem All aus;Der Spiegel;Spain;Artikel;Natural Disaster;Max Mustermann;Energie
2025 02 06;De inrichting van het landschap bij Valencia heeft de gevolgen van het noodweer versterkt;NRC;Spain;Artikel;;Max Mustermann;Energie
2025 02 06;What satellite images reveal about Israel's strikes on Iran;BBC;Iran;Artikel;;Max Mustermann;Energie
2025 02 06;What satellite images reveal about Israel's strikes on Iran;BBC;Iran;Artikel;;Max Mustermann;Energie
2025 02 06;What satellite images reveal about Israel's strikes on Iran;BBC;Iran;Artikel;;Max Mustermann;Energie
2025 02 06;Satellite images show major expansion at Russian site with secret bioweapons past;Washington Post;;Artikel;;Max Mustermann;Energie
2025 02 06;Satellite images show major expansion at Russian site with secret bioweapons past;Washington Post;Russia;Artikel;;Max Mustermann;Energie
2025 02 06;Revealed: Putin's sanctions-busting shadow fleet is spilling oil all over the world ;Politico;;Artikel;;Max Mustermann;Energie
2025 02 06;Vertrieben, getötet, ohne ausreichende Hilfe;Die Zeit;Gaza;Artikel;;Max Mustermann;Energie
2025 02 06;Gaza in rubble and ruin;Reuters;Gaza Strip;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;Gaza in rubble and ruin;Reuters;Gaza Strip;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;How radio signals have increased at the front in Ukraine (satellite images);Texty;Ukraine;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;Gaza: Satellitenbilder der Zerstörung;ARTE;Gaza;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;How a U.S. Ally Uses Aid as a Cover in War;New York Times;Sudan;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
