Year,Title,Link,Author,Platform/Publisher,Category,Type,Quote
2025,"Pixels in, People out: An Image-Based Ideology of Space",https://www.youtube.com/watch?v=h77_OsM7jhA,"Felicity Hammond, Nina Davies, Julian Oliver",Transmediale,Media Theory,Video,
2025,Digitale Bildkulturen: Satellitenbilder,https://www.digitale-bildkulturen.de/buecher/book/satellitenbilder.html,Daniel Eschkötter,Verlag Klaus Wagenbach,Media Theory,Book,
2024,From Space to Story in Data Journalism,https://nightingaledvs.com/from-space-to-story-in-data-journalism/,Robert Simmon,Nightingale,Journalism,Online Article,
2024,The Evolution of Earth Observation Imagery Usage in Journalism,https://newspaceeconomy.ca/2024/04/01/the-evolution-of-earth-observation-imagery-in-journalism/,?,New Space Economy,,Online Article,
2024,Meet the Bloomberg Newsroom’s Satellite Data Expert,https://www.bloomberg.com/news/newsletters/2024-04-10/using-satellite-imagery-to-find-and-visualize-news-stories-maplab,Laura Bliss,Bloomberg,Journalism,Online Article,
2024,The Psychedelic Nature of 1970s NASA Landsat 1 Florida Satellite Images,https://www.departmentofinformation.org/psychedelic-florida-landsat1/,Pokey the Pigeon,Department of Information,,Online Article,
2024,Sensing the earth ,https://dark.properties/sensing-the-earth/,"Meg Miller,
Agnes Cameron",Dark Properties,,Online Article,
2023,"Tips for Using Satellite Imagery in Forensic Investigations, from Amnesty International’s Evidence Lab",https://gijn.org/stories/tips-for-using-satellite-imagery-in-forensic-investigations-from-amnesty-internationals-evidence-lab/,Laura Oliver,Global Investigative Journalism Network,,Online Article,
2023,Interview with German Media Theorist Vera Tollmann on View from Above,https://networkcultures.org/geert/2023/10/11/interview-with-german-media-theorist-vera-tollmann-on-view-from-above/,Geert Lovink,Institute of Network Cultures,Media Theorie,Online Article,
2023,Privacy and Veracity Implications of the Use of Satellite Imagery from Private Companies as Evidence in Human Rights Investigations,https://journals.law.harvard.edu/hrj/2023/11/privacy-and-veracity-implications-of-the-use-of-satellite-imagery-from-private-companies-as-evidence-in-human-rights-investigations/,Hannah Kannegieter,Harvard Human Rights Journal,Human Rights,Online Article,
2023,Sicht von Oben,https://spectorbooks.com/book/sicht-von-oben,Vera Tollmann,Spector Books,Media Theory,Book,
2023,Operational images,https://www.upress.umn.edu/9781517912116/operational-images/,Jussi Parikka,University of Minnessta Press,Media Theory,Book,
2022,Co-operative aerial images: A geomedia history of the view from above,https://journals.sagepub.com/doi/full/10.1177/14614448221122201,"Hendrik Bender, Max Kanderske",New Media & Society,Media Theory,Online Article,
2022,Woher die Satellitenbilder vom Krieg in der Ukraine kommen,https://www.sueddeutsche.de/wirtschaft/ukraine-satellitenbilder-maxar-1.5543419?reduced=true,Helmut Martin-Jung,Süddeutsche Zeitung,Journalism,Online Article,
2022,Omnivorous Analysis,https://logicmag.io/clouds/omnivorous-analysis/,Anne Lee Steele ,Logic Magazine,,Online Article,
2021,A Journalist's Guide to using AI + Satellite Imagery for Storytelling,https://aifromabove.notion.site/A-Journalist-s-Guide-to-using-AI-Satellite-Imagery-for-Storytelling-c32a310269124f069da96b73e872e574,Ai From Above,,,Online Article,
2021,Op-ed | The World Below: The need for free and open data in Earth observation activities ,https://spacenews.com/op-ed-the-world-below-the-need-for-free-and-open-data-in-earth-observation-activities/,Marco Borghi,Space News,,Online Article,
2021,Die unentdeckte Gefahr der Deepfake-Satellitenbilder,https://www.derstandard.at/story/2000126233868/die-unentdeckte-gefahr-der-deepfake-satellitenbilder?ref=rss,,Der Standard,,Online Article,
2021,Digital Humanitarianism and the Visual Politics of the Refugee Camp: (Un)Seeing Control,https://academic.oup.com/ips/article/15/1/41/5941766?login=false,"Delf Rothe,
Christian Fröhlich,
Juan Miguel Rodriguez Lopez",International Political Sociology,Academia,Online Article,
2020,Satellite Photojournalism and the Sublime Object,https://medium.com/giphantie-journal/satellite-photojournalism-and-the-sublime-object-23ae596c32b9,Taylor Dorrell,Medium,,Online Article,
2020,Satellite Images Aren’t Objective or Neutral,https://www.cliccs.uni-hamburg.de/about-cliccs/news/2020-news/2020-11-09-fernerkundung-fluechtlingslager.html,,,Academia,Online Article,
2020,Architekturen des Meeres,https://archplus.net/de/ausgabe/239/,Bernhard Siegert,Arch+,Media Theory,Magazine,
2019,Why large swathes of countries are censored on Google Maps,https://www.abc.net.au/news/2019-02-21/why-large-parts-of-earth-are-censored-by-google-maps/10826024,Alan Weedon,ABC,Journalism,Online Article,
2019,Are We Ready for Satellites That See Our Every Move?,https://www.nytimes.com/2019/10/15/opinion/satellite-image-surveillance-that-could-see-you-and-your-coffee-mug.html,Sarah Parcak,The New York Times,Journalism,Online Article,
2019,Satellites give newsrooms eyes in the sky,https://nyujournalismprojects.org/newsliteracy2019/topics/satellite-imagery-for-news/,"Sahina Shrestha, Priyanka Vora",NYU Journalism,Journalism,Online Article,
2019,The Age of Total Images: Disappearance of a Subjective Viewpoint in Post-digital Photography,https://networkcultures.org/wp-content/uploads/2020/03/TheAgeOfTotalImagesPDF.pdf,Ana Peraica,Institute of Network Cultures,Media Theory,Book,
2018,Satellite imagery is revolutionizing the world. But should we always trust what we see?,https://theconversation.com/satellite-imagery-is-revolutionizing-the-world-but-should-we-always-trust-what-we-see-95201,Melinda Laituri ,The Conversation,,Online Article,
2018,Should We Always Trust What We See in Satellite Images?,https://www.scientificamerican.com/article/should-we-always-trust-what-we-see-in-satellite-images/,Melinda Laituri & The Conversation US,Scientific American,Popular Science ,Online Article,"As satellite images become more ubiquitous, we should reflect on where they come from, how they are created, and the purpose for their use."
2018,NASA wants your pictures of clouds to verify its satellites’ data,https://www.engadget.com/2018-03-16-nasa-wants-pictures-of-clouds-verify-satellite-data.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAADFgypCsFi3LWUVR3mwm42zWzhTiAncwdNKXYgMWtbugCJ14bl7njkz7PX5-F0UbLNBeYjhMKdZgufV5U1C_f5uctRiZ4uxthEjEJBTa3HMCoh1MC2bVvfjUXlGxiFRg2-tTuSDnghc2UQSlfozdWGOpsK7E_cdcctLMPdSz6uLE,,Engaget,,Online Article,
2018,EU-Militärmission im Mittelmeer: Zugang zu Satellitenaufklärung vereinfacht,https://netzpolitik.org/2018/eu-militaermission-im-mittelmeer-zugang-zu-satellitenaufklaerung-vereinfacht/,EU-Militärmission im Mittelmeer: Zugang zu Satellitenaufklärung vereinfacht,Netzpolitik,,Online Article,
2017,Nonhuman Photography,https://www.nonhuman.photography/,Joanna Zylinska,MIT Press,Media Theory,Book,"This particular perspective has a double function: it denaturalizes the familiar while also creating an illusion of immediacy, proximity, and visual mastery."
2017,Ästhetik der Zensur,https://www.niggli.ch/produkt/asthetik-der-zensur/,Marion Alina Kliesch,Niggli,Media Theory,Book,
2016,Technosphere Verticality,https://technosphere-magazine.hkw.de/p/Technosphere-Verticality-cJSZntQ5B1FVnGxQsh2htg,Johan Gärdebo,HKW,Media Theory,Online Article,
2016,Ein Tag dauert zwölf Sekunden,https://blog.zeit.de/teilchen/2016/01/29/satellitenbilder-erde-weltall-video/,Alina Schadwinkel,Die ZEIT,Journalism,Online Article,
2016,Vertical:The City from Satellites to Bunkers,https://www.versobooks.com/products/52-vertical?srsltid=AfmBOoqDNErX7qrWqn_Mr15KhQstVIDLRaiLhWL-symQ05pQ7ynxYJP-,Stephen Graham,Verso,Media Theory,Book,
2015,Beyond Google Earth,https://placesjournal.org/article/beyond-google-earth/?cn-reloaded=1,Aaron Rothman,Places Journal,,Online Article,
2015,The aesthetics of the scientific image,https://artphilosophyjunction.wordpress.com/wp-content/uploads/2013/02/cazeaux-c_2015_aesthetics-of-scientific-image1.pdf,Clive Cazeaux,,,Online Article,
2015,"Space, the Final Journalism Frontier",https://slate.com/technology/2015/09/how-satellites-could-revolutionize-journalism-and-storytelling.html,Fergus Pitt,Slate,,Online Article,
2014,Remote sensing place: Satellite images as visual spatial imaginaries,https://www.sciencedirect.com/science/article/abs/pii/S0016718513002376?via%3Dihub,David Shim,Geoforum,,Online Article,
2014,Satellite Images as Proof,https://gijn.org/resource/satellite-images-as-proof/,Sheila Coronel,Global Investigative Journalism Network,,Online Article,
2014,The machine gaze,https://aeon.co/essays/what-do-we-uncover-when-we-look-through-digital-eyes,Will Wiles,Aeon,,Online Article,
2014,Space journalism': How ProPublica tells stories using satellites,https://www.journalism.co.uk/news/space-journalism-how-propublica-tells-stories-using-satellite-imagery/s2/a562960/,Catalina Albeanu,Department of Information,,Online Article,
2014,Orbital Geopolitics,https://www.anthropocene-curriculum.org/contribution/orbital-geopolitics,"Johan Gärdebo,
Agata Marzecova,
Hanna Vikström",Anthropocene Curriculum,,Online Article,
